customer_id,product_desc,ranking
410375,Corona-1/3 Lts-Bottle-OW,7
410375,Quilmes Clasica-1/3 Lts-Bottle-RET,8
410375,Stella artois-3/4 Lts-Bottle-OW,9
410375,Quilmes Stout-1 Lts-Bottle-RET,10
410375,Patagonia Hoppy Lager-3/4 Lts-Bottle-OW,11
410375,Andes Origen IPA-1/3 Lts-Bottle-RET,12
413342,Brahma Dorada-3/4 Lts-Bottle-OW,1
413342,Stella Artois Blanche-1/2 Lts-Cans,2
413342,Corona-1/2 Lts-Cans,3
413342,Quilmes Ipa-1/2 Lts-Cans,4
413342,Michelob Ultra-1/2 Lts-Cans,5
413342,Stella artois-3/4 Lts-Bottle-OW,6
413342,Quilmes Stout-1 Lts-Bottle-RET,7
413342,Andes Origen IPA-1/3 Lts-Bottle-RET,8
413342,Budweiser-1/3 Lts-Bottle-RET,9
413342,Quilmes Clasica-1/3 Lts-Bottle-RET,10
427518,Andes Origen Fresquita-1/2 Lts-Cans,1
427518,Stella Artois Blanche-1/2 Lts-Cans,2
427518,Corona-1/2 Lts-Cans,3
427518,Brahma Dorada-1/2 Lts-Cans,4
427518,Brahma-1/2 Lts-Cans,5
427518,Andes Origen IPA-1/3 Lts-Bottle-RET,6
427518,Patagonia 24.7-1/2 Lts-Cans,7
428478,Corona-1/2 Lts-Cans,1
428478,Andes Origen Rubia-1/2 Lts-Cans,2
428478,Andes Origen IPA-1/2 Lts-Cans,3
428478,Quilmes Stout-1/2 Lts-Cans,4
428478,Corona-1/3 Lts-Bottle-OW,5
428478,Andes Origen Negra-1/2 Lts-Cans,6
428478,Patagonia 24.7-1/2 Lts-Cans,7
428478,Brahma Dorada-1/2 Lts-Cans,8
428478,Brahma-1 Lts-Bottle-RET,9
429283,Brahma-1/2 Lts-Cans,1
429283,Quilmes Ipa-1/2 Lts-Cans,2
429283,Quilmes Ipa-1 Lts-Bottle-OW,3
434406,Patagonia 24.7-1/2 Lts-Cans,1
434406,Patagonia Weisse-1/2 Lts-Cans,2
434406,Patagonia Vera Ipa-1/2 Lts-Cans,3
435092,Quilmes Ipa-1 Lts-Bottle-OW,1
435092,Patagonia Amber Lager-1 Lts-Bottle-RET,2
435092,Stella Artois Blanche-1/2 Lts-Cans,3
435092,Quilmes Ipa-1/2 Lts-Cans,4
435092,Andes Origen Fresquita-1/2 Lts-Cans,5
435092,Patagonia Bohemian Pilsener-1 Lts-Bottle-RET,6
435092,Quilmes Clasica-1 Lts-Bottle-RET,7
435092,Patagonia Vera Ipa-3/4 Lts-Bottle-OW,8
435092,Corona-3/4 Lts-Bottle-OW,9
435092,1890-1 Lts-Bottle-RET,10
435092,Andes Origen Rubia-1 Lts-Bottle-RET,11
435092,Budweiser-1 Lts-Bottle-RET,12
436102,Brahma-1/2 Lts-Cans,1
436102,Budweiser-1/3 Lts-Bottle-RET,2
436102,Brahma Dorada-1/2 Lts-Cans,3
436864,Corona-1/2 Lts-Cans,1
436864,Quilmes Clasica-1/2 Lts-Cans,2
436864,Brahma-1/2 Lts-Cans,3
436864,Brahma-1 Lts-Bottle-RET,4
437195,Brahma-1/2 Lts-Cans,1
437195,Quilmes Clasica-1/2 Lts-Cans,2
437195,Budweiser-1/2 Lts-Cans,3
437195,Brahma-1 Lts-Bottle-RET,4
443715,Brahma-1/2 Lts-Cans,1
443715,Budweiser-3/4 Lts-Bottle-OW,2
445299,Corona-1/2 Lts-Cans,1
445299,Stella artois-1 Lts-Bottle-RET,2
445299,Patagonia 24.7-3/4 Lts-Bottle-OW,3
445299,Budweiser-1/3 Lts-Bottle-RET,4
445299,Corona-1/3 Lts-Bottle-OW,5
445299,Budweiser-1 Lts-Bottle-RET,6
451481,Brahma-1/2 Lts-Cans,1
451481,Brahma Dorada-1/2 Lts-Cans,2
455792,Andes Origen Fresquita-1/2 Lts-Cans,1
455792,Corona-1/2 Lts-Cans,2
455792,Stella Artois Blanche-1/2 Lts-Cans,3
455792,Brahma-1/2 Lts-Cans,4
455792,Quilmes Clasica-1/2 Lts-Cans,5
455792,Brahma Dorada-1/2 Lts-Cans,6
455828,Andes Origen Fresquita-1/2 Lts-Cans,1
455828,Brahma-1/2 Lts-Cans,2
455828,Stella artois-1 Lts-Bottle-RET,3
457410,Stella Artois Blanche-1/2 Lts-Cans,1
457410,Andes Origen Fresquita-1/2 Lts-Cans,2
457410,Corona-1/2 Lts-Cans,3
457410,Quilmes Clasica-1/2 Lts-Cans,4
457410,Brahma-1/2 Lts-Cans,5
457410,Andes Origen Rubia-1 Lts-Bottle-RET,6
